ID,Jurisdiction,Title,Link,Category,Introduction Date
MD-2026RS-HB1613,Maryland,"Caroline County - Alcoholic Beverages - Inspector","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1613?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1607,Maryland,"Community Solar Energy Generating Systems - Prohibited Locations - Adjacent Parcels","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1607?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1605,Maryland,"Compensation for Individuals Erroneously Convicted - County Cost-Sharing - Repeal","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1605?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1606,Maryland,"Credit Regulation - Maximum Interest Rate for Active Service Members (Service Members Civil Relief Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1606?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1610,Maryland,"Education - School Bus - Fire Safety Standards","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1610?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1609,Maryland,"Frederick County - Gaming - Acceptance of Credit as Payment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1609?ys=2026RS#",Bill,2026-02-17
MD-2026RS-SB0988,Maryland,"Judicial Facilities - Stops, Detentions, and Arrests - Limitations","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0988?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1611,Maryland,"Property Tax - Credit for Dwelling House of Disabled Veterans and Surviving Spouses - Income Eligibility","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1611?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1608,Maryland,"Public Safety - Firearms - Storage Requirements","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1608?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1604,Maryland,"Public School System Contracts - Prohibited Provisions","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1604?ys=2026RS#",Bill,2026-02-17
MD-2026RS-HB1612,Maryland,"Sports Wagering - Independent Evaluation of Sports Wagering","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1612?ys=2026RS#",Bill,2026-02-17
DC-PR26-0545,District of Columbia,"Streatery Program Rulemaking Approval Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0545",Resolution,2026-02-17
DC-PR26-0544,District of Columbia,"Transfer of Jurisdiction over a Portion of Lot 1008 in Square 1299, being a Portion of Reservation 357, S.O. 25-01882, Approval Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0544",Resolution,2026-02-17
MD-2026RS-HB1599,Maryland,"Chesapeake Bay Enhancement Program - Established","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1599?ys=2026RS#",Bill,2026-02-16
MD-2026RS-HB1602,Maryland,"Counties - No-Cost Preventive Cancer Screenings for Volunteer Firefighters","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1602?ys=2026RS#",Bill,2026-02-16
MD-2026RS-HB1597,Maryland,"Health - Unregulated Space in Hospital Operating Suites - Pilot Project","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1597?ys=2026RS#",Bill,2026-02-16
MD-2026RS-HB1603,Maryland,"Health Insurance - Vision Benefits - Regulation of Insurers and Vision Benefit Managers","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1603?ys=2026RS#",Bill,2026-02-16
MD-2026RS-HB1600,Maryland,"Homeowners Associations - Reserve Funding, Meeting Notices, Voting, and Records","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1600?ys=2026RS#",Bill,2026-02-16
MD-2026RS-HB1598,Maryland,"Horse Racing - Racetrack Facility Renewal Account Grants - Alterations","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1598?ys=2026RS#",Bill,2026-02-16
MD-2026RS-HB1601,Maryland,"Real Property - Deeds - Recordation Requirements","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1601?ys=2026RS#",Bill,2026-02-16
MD-2026RS-HB1590,Maryland,"Alcoholic Beverages - Class 8 Farm Brewery and Class 10 Farm Distillery Licenses","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1590?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1589,Maryland,"Certificates of Birth, Licenses, and Identification Cards - Sex Designation (Birth Certificate Modernization Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1589?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0981,Maryland,"Common Ownership Communities - Ombudsman Unit, Governing Document Database, and Local Commissions","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0981?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0987,Maryland,"Corporate Income Tax - Addition Modification - Direct-to-Consumer Pharmaceutical Advertising","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0987?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0985,Maryland,"Correctional Services - Immigration Detention Facilities - Minimum Mandatory Standards","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0985?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0984,Maryland,"Correctional Services - Private Immigration Detention Facilities - Zoning Requirement","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0984?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1593,Maryland,"Developmental Disabilities Administration - Self-Directed Services Manual - Public Comment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1593?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1592,Maryland,"Education - Regional Resource Centers and County Libraries - Funding","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1592?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1587,Maryland,"Gaming - Electronic Instant Bingo Machines - Operation and Maximum Number of Machines","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1587?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0983,Maryland,"Higher Education - Academic Program Approval - Objections","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0983?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1596,Maryland,"Maryland Technology Development Corporation - Maryland Growth Initiative - Established","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1596?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0982,Maryland,"Mutual Insurance Holding Companies - Conversion to Mutual Insurers","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0982?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0980,Maryland,"Property Tax - Credit for Dwelling House of Disabled Veterans and Surviving Spouses - Alterations","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0980?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1595,Maryland,"Property Taxes - Authority of Counties to Establish a Subclass and Set a Special Rate for Personal Property of Data Centers","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1595?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0986,Maryland,"Public Safety - Stationary Energy Storage Systems","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0986?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1591,Maryland,"State and Private Wetlands - Nonwater-Dependent Project - Definition","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1591?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0979,Maryland,"Statute of Limitations - Prosecution or Enforcement of Local Consumer Protection Codes","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0979?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1594,Maryland,"Veterans' Discounts Act","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1594?ys=2026RS#",Bill,2026-02-15
MD-2026RS-HB1588,Maryland,"Wicomico County - Orphans' Court Judge - Annual Salary","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1588?ys=2026RS#",Bill,2026-02-15
MD-2026RS-SB0972,Maryland,"Baltimore City - 40th Alcoholic Beverages District - Class B Beer, Wine, and Liquor Licenses","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0972?ys=2026RS#",Bill,2026-02-14
MD-2026RS-SB0974,Maryland,"Caroline County - Alcoholic Beverages - Inspector","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0974?ys=2026RS#",Bill,2026-02-14
MD-2026RS-SB0978,Maryland,"Community Colleges - Collective Bargaining - Definition of Supervisory Employee","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0978?ys=2026RS#",Bill,2026-02-14
MD-2026RS-SB0975,Maryland,"Department of Social and Economic Mobility - Individuals With Disabilities","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0975?ys=2026RS#",Bill,2026-02-14
MD-2026RS-SB0973,Maryland,"Income Tax - Credit for Long-Term Care Premiums","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0973?ys=2026RS#",Bill,2026-02-14
MD-2026RS-SB0977,Maryland,"Maryland Positive Youth Development Commission and Fund � Establishment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0977?ys=2026RS#",Bill,2026-02-14
MD-2026RS-SB0971,Maryland,"Natural Resources - Establishment of Gwynns Falls State Park","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0971?ys=2026RS#",Bill,2026-02-14
MD-2026RS-SB0976,Maryland,"Wicomico County - Orphans' Court Judge - Annual Salary","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0976?ys=2026RS#",Bill,2026-02-14
PG-CR-011-2026,Prince George's County,"A RESOLUTION CONCERNING MARYLAND OFFICE OF PEOPLE’S COUNSEL - INVESTIGATION OF PUBLIC UTILITY RATE INCREASES for the purpose of requesting the Office of People’s Counsel investigate the significant public utility rate increases affecting Prince George’s County.","https://princegeorgescountymd.legistar.com/Gateway.aspx?M=LD&From=RSS&ID=7926043&GUID=375244B5-BFA8-4E0B-A48F-ACE8861C169D",Resolution,2026-02-13
MD-2026RS-HB1523,Maryland,"Alcohol, Tobacco, and Cannabis Commission - Unauthorized Consumable Products - Enforcement and Seizure","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1523?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1552,Maryland,"Alcoholic Beverages - Class L Beer, Wine, and Liquor License - Established","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1552?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1374,Maryland,"Alternative Fuel, Fuel-Efficient, and Electric Vehicles - Highway Use Fees","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1374?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1424,Maryland,"Anne Arundel County - Community Sewerage Systems - Homeowners Association Control","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1424?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1463,Maryland,"Anne Arundel County Board of Education - Constituent Services Liaison - Establishment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1463?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1425,Maryland,"Baltimore City - Alcoholic Beverages Licenses - Revisions","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1425?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1474,Maryland,"Baltimore County - Alcoholic Beverages Licenses - Transfers and Conversions","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1474?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1546,Maryland,"Baltimore County - Homestead Property Tax Credit - Individuals at Least 65 Years Old","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1546?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1529,Maryland,"Baltimore County - Local Commission on Common Ownership Communities","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1529?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1472,Maryland,"Better Small Business Employee Benefit Act of 2026","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1472?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1499,Maryland,"Business Regulation - Home Improvement Contracts - Deposits","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1499?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1512,Maryland,"Business Regulation - Rounding Cash Transactions - Remittance to Comptroller","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1512?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1556,Maryland,"Business Regulation - Sugary Beverage Advertisements - Warning Labels","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1556?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1514,Maryland,"Calvert County - County Officials and Board of Education - Salaries and Benefits","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1514?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1513,Maryland,"Calvert County - Public Facilities Bonds","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1513?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1454,Maryland,"Campaign Finance - Security Expenditures - Authorization","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1454?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1519,Maryland,"Cannabis - Management Service Agreements, Advertising, and Penalties - Alterations (Cannabis Reform and Opportunity Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1519?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1526,Maryland,"Carroll County - Alcoholic Beverages - Class 1 Distillery On-Premises Consumption Permit","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1526?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1503,Maryland,"Carroll County - District Planning Commission - Authorized","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1503?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1497,Maryland,"Charles County - Rent Stabilization - Seniors","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1497?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1493,Maryland,"Charles County - Student Bus Transportation Providers - Provider Displacement","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1493?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1574,Maryland,"Child Care Providers - Licensing and Registration Alterations and Workgroup to Study Illegally Provided Child Care","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1574?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1484,Maryland,"Child Sex Offenders - Plea Agreements and Places for Children","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1484?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1383,Maryland,"Children in Need of Assistance - Permanency Plan Requirements","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1383?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1559,Maryland,"Children in Unlicensed Settings and Pediatric Hospital Overstay Patients - Placement","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1559?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1483,Maryland,"Clinical Professional Counseling - Out-of-State Providers - Use of Telehealth for Continuity of Care","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1483?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1426,Maryland,"Clinical Research Pharmacies and Clinical Trials - Permits, Ownership, and Definition of Practice of Medicine","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1426?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1492,Maryland,"Collective Bargaining - Public Employees - Revocation of Certification and School and Library Employees' Right to Strike","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1492?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1446,Maryland,"Commercial Driver's Instructional Permits - School Vehicles - Knowledge Test","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1446?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1396,Maryland,"Commission on Blueprint Fiscal Sustainability and Student Achievement - Establishment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1396?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1367,Maryland,"Commission on Re-Imagining Health Care in Maryland","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1367?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1577,Maryland,"Common Ownership Communities - Common Areas - Approval of Alterations","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1577?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1442,Maryland,"Community Choice Aggregation Pilot Program - Definition, Application, and Workgroup - Modifications","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1442?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1433,Maryland,"Community Colleges - Collective Bargaining - Definition of Supervisory Employee","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1433?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1527,Maryland,"Complementary and Alternative Health Care - Practice Authorized (Complementary and Alternative Health Care Practice Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1527?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1362,Maryland,"Condominiums and Homeowners Associations - Meetings - Recording Requirements","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1362?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1506,Maryland,"Condominiums and Homeowners Associations - New Owner Fees - Limitations","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1506?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1488,Maryland,"Constitutional Language - Modernization","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1488?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1502,Maryland,"Consumer and Display Fireworks - Regulation and Tax","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1502?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1395,Maryland,"Consumer Protection - Agricultural Equipment Warranties","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1395?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1399,Maryland,"Consumer Protection - Consumer Reporting Agencies - Use of Algorithmic Systems","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1399?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1475,Maryland,"Consumer Protection - Dynamic Pricing Disclosure and Prohibition on Rent-Setting","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1475?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1471,Maryland,"Consumer Protection - Identity Theft Debt","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1471?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1456,Maryland,"Consumer Protection - Residential Property Advertisement - Ownership Verification","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1456?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1429,Maryland,"Consumer Protection - Right to Repair - Motor Vehicles and Farm Equipment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1429?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1562,Maryland,"Consumer Protection - Telecommunications Service Outage - Automatic Credit (Automatic Telecommunications Service Outage Credit Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1562?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1532,Maryland,"Continuing the Next Generation Energy Act","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1532?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1378,Maryland,"Corporations and Associations - Limitations on Election and Ballot Issue Activities (Maryland Corporate Power Reset Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1378?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1575,Maryland,"Correctional Services and Public Safety - Immigration Enforcement - Prohibitions (Community Trust Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1575?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1520,Maryland,"Courts - Exemption From Judgment - Alterations and Additions","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1520?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1361,Maryland,"Criminal Law - Controlled Dangerous Substances and Criminal Organizations","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1361?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1386,Maryland,"Criminal Law - Distribution of Heroin or Fentanyl Causing Death or Serious Bodily Injury (Victoria, Scottie, Ashleigh, and Yader's Law)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1386?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1467,Maryland,"Criminal Law - Fourth Degree Sexual Offense - Out-of-State Convictions","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1467?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1441,Maryland,"Criminal Law - Public Consumption and Open Container - Prepayment of Citation","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1441?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1406,Maryland,"Criminal Law - Self-Defense - Prior Acts by Victim","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1406?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1394,Maryland,"Criminal Law � Homicide by Motor Vehicle or Vessel � Restitution to Child (Bentley�s Law)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1394?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1363,Maryland,"Criminal Procedure - Domestic Violence Offenders - Registration","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1363?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1489,Maryland,"Criminal Procedure - Motion to Reduce Duration of Sentence - Eligibility (Vincent Anthony Fisher III Act)","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1489?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1411,Maryland,"Data Center Planning and Transparency Act","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1411?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1534,Maryland,"Data Centers - Standards for Operation and Siting","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1534?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1584,Maryland,"Delivery Network Companies and Delivery Network Services - Regulation and Transparency","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1584?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1551,Maryland,"Department of Agriculture - Regulation of Dog Breeders","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1551?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1369,Maryland,"Department of Budget and Management - Audit and Finance Compliance Unit - Establishment","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1369?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1466,Maryland,"Department of Housing and Community Development - Appraisal Gap From Historic Redlining Financial Assistance Program - Qualified Properties","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1466?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1501,Maryland,"Department of Housing and Community Development - Homeless Shelter Certification","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1501?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1462,Maryland,"Department of Social and Economic Mobility � Individuals With Disabilities","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1462?ys=2026RS#",Bill,2026-02-13
MD-2026RS-HB1419,Maryland,"Department of State Police - Centralized Background Check Division","https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1419?ys=2026RS#",Bill,2026-02-13
DC-PR26-0537,District of Columbia,"District of Columbia Housing Authority Board of Commissioners Christopher Murphy Confirmation Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0537",Resolution,2026-02-13
DC-PR26-0538,District of Columbia,"District of Columbia Housing Authority Board of Commissioners Denise Blackson Confirmation Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0538",Resolution,2026-02-13
DC-PR26-0539,District of Columbia,"District of Columbia Housing Authority Board of Commissioners James Dickerson Confirmation Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0539",Resolution,2026-02-13
DC-PR26-0540,District of Columbia,"District of Columbia Housing Authority Board of Commissioners Leroy Clay III Confirmation Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0540",Resolution,2026-02-13
DC-PR26-0542,District of Columbia,"District of Columbia Housing Authority Board of Commissioners Raymond Skinner Confirmation Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0542",Resolution,2026-02-13
DC-PR26-0541,District of Columbia,"District of Columbia Housing Authority Board of Commissioners Ronnie Harris Confirmation Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0541",Resolution,2026-02-13
DC-PR26-0543,District of Columbia,"District of Columbia Housing Authority Board of Commissioners Teresa Silla Confirmation Resolution of 2026","https://lims.dccouncil.gov/Legislation/PR26-0543",Resolution,2026-02-13
